,DateTime,Junction,Vehicles,ID
0,2015-11-01 00:00:00,1,15,20151101001
1,2015-11-01 01:00:00,1,13,20151101011
2,2015-11-01 02:00:00,1,10,20151101021
3,2015-11-01 03:00:00,1,7,20151101031
4,2015-11-01 04:00:00,1,9,20151101041
5,2015-11-01 05:00:00,1,6,20151101051
6,2015-11-01 06:00:00,1,9,20151101061
7,2015-11-01 07:00:00,1,8,20151101071
8,2015-11-01 08:00:00,1,11,20151101081
9,2015-11-01 09:00:00,1,12,20151101091
10,2015-11-01 10:00:00,1,15,20151101101
11,2015-11-01 11:00:00,1,17,20151101111
12,2015-11-01 12:00:00,1,16,20151101121
13,2015-11-01 13:00:00,1,15,20151101131
14,2015-11-01 14:00:00,1,16,20151101141
15,2015-11-01 15:00:00,1,12,20151101151
16,2015-11-01 16:00:00,1,12,20151101161
17,2015-11-01 17:00:00,1,16,20151101171
18,2015-11-01 18:00:00,1,17,20151101181
19,2015-11-01 19:00:00,1,20,20151101191
20,2015-11-01 20:00:00,1,17,20151101201
21,2015-11-01 21:00:00,1,19,20151101211
22,2015-11-01 22:00:00,1,20,20151101221
23,2015-11-01 23:00:00,1,15,20151101231
24,2015-11-02 00:00:00,1,14,20151102001
25,2015-11-02 01:00:00,1,12,20151102011
26,2015-11-02 02:00:00,1,14,20151102021
27,2015-11-02 03:00:00,1,12,20151102031
28,2015-11-02 04:00:00,1,12,20151102041
29,2015-11-02 05:00:00,1,11,20151102051
30,2015-11-02 06:00:00,1,13,20151102061
31,2015-11-02 07:00:00,1,14,20151102071
32,2015-11-02 08:00:00,1,12,20151102081
33,2015-11-02 09:00:00,1,22,20151102091
34,2015-11-02 10:00:00,1,32,20151102101
35,2015-11-02 11:00:00,1,31,20151102111
36,2015-11-02 12:00:00,1,35,20151102121
37,2015-11-02 13:00:00,1,26,20151102131
38,2015-11-02 14:00:00,1,34,20151102141
39,2015-11-02 15:00:00,1,30,20151102151
40,2015-11-02 16:00:00,1,27,20151102161
41,2015-11-02 17:00:00,1,27,20151102171
42,2015-11-02 18:00:00,1,24,20151102181
43,2015-11-02 19:00:00,1,26,20151102191
44,2015-11-02 20:00:00,1,29,20151102201
45,2015-11-02 21:00:00,1,32,20151102211
46,2015-11-02 22:00:00,1,30,20151102221
47,2015-11-02 23:00:00,1,27,20151102231
48,2015-11-03 00:00:00,1,21,20151103001
49,2015-11-03 01:00:00,1,18,20151103011
50,2015-11-03 02:00:00,1,19,20151103021
51,2015-11-03 03:00:00,1,13,20151103031
52,2015-11-03 04:00:00,1,11,20151103041
53,2015-11-03 05:00:00,1,11,20151103051
54,2015-11-03 06:00:00,1,11,20151103061
55,2015-11-03 07:00:00,1,14,20151103071
56,2015-11-03 08:00:00,1,15,20151103081
57,2015-11-03 09:00:00,1,29,20151103091
58,2015-11-03 10:00:00,1,33,20151103101
59,2015-11-03 11:00:00,1,32,20151103111
60,2015-11-03 12:00:00,1,32,20151103121
61,2015-11-03 13:00:00,1,29,20151103131
62,2015-11-03 14:00:00,1,27,20151103141
63,2015-11-03 15:00:00,1,26,20151103151
64,2015-11-03 16:00:00,1,28,20151103161
65,2015-11-03 17:00:00,1,26,20151103171
66,2015-11-03 18:00:00,1,25,20151103181
67,2015-11-03 19:00:00,1,29,20151103191
68,2015-11-03 20:00:00,1,26,20151103201
69,2015-11-03 21:00:00,1,24,20151103211
70,2015-11-03 22:00:00,1,25,20151103221
71,2015-11-03 23:00:00,1,20,20151103231
72,2015-11-04 00:00:00,1,18,20151104001
73,2015-11-04 01:00:00,1,18,20151104011
74,2015-11-04 02:00:00,1,13,20151104021
75,2015-11-04 03:00:00,1,13,20151104031
76,2015-11-04 04:00:00,1,10,20151104041
77,2015-11-04 05:00:00,1,12,20151104051
78,2015-11-04 06:00:00,1,13,20151104061
79,2015-11-04 07:00:00,1,11,20151104071
80,2015-11-04 08:00:00,1,13,20151104081
81,2015-11-04 09:00:00,1,22,20151104091
82,2015-11-04 10:00:00,1,26,20151104101
83,2015-11-04 11:00:00,1,27,20151104111
84,2015-11-04 12:00:00,1,31,20151104121
85,2015-11-04 13:00:00,1,24,20151104131
86,2015-11-04 14:00:00,1,23,20151104141
87,2015-11-04 15:00:00,1,26,20151104151
88,2015-11-04 16:00:00,1,26,20151104161
89,2015-11-04 17:00:00,1,24,20151104171
90,2015-11-04 18:00:00,1,23,20151104181
91,2015-11-04 19:00:00,1,25,20151104191
92,2015-11-04 20:00:00,1,26,20151104201
93,2015-11-04 21:00:00,1,24,20151104211
94,2015-11-04 22:00:00,1,26,20151104221
95,2015-11-04 23:00:00,1,24,20151104231
96,2015-11-05 00:00:00,1,19,20151105001
97,2015-11-05 01:00:00,1,20,20151105011
98,2015-11-05 02:00:00,1,18,20151105021
99,2015-11-05 03:00:00,1,13,20151105031
100,2015-11-05 04:00:00,1,13,20151105041
101,2015-11-05 05:00:00,1,9,20151105051
102,2015-11-05 06:00:00,1,12,20151105061
103,2015-11-05 07:00:00,1,12,20151105071
104,2015-11-05 08:00:00,1,15,20151105081
105,2015-11-05 09:00:00,1,16,20151105091
106,2015-11-05 10:00:00,1,23,20151105101
107,2015-11-05 11:00:00,1,24,20151105111
108,2015-11-05 12:00:00,1,25,20151105121
109,2015-11-05 13:00:00,1,24,20151105131
110,2015-11-05 14:00:00,1,26,20151105141
111,2015-11-05 15:00:00,1,22,20151105151
112,2015-11-05 16:00:00,1,20,20151105161
113,2015-11-05 17:00:00,1,20,20151105171
114,2015-11-05 18:00:00,1,22,20151105181
115,2015-11-05 19:00:00,1,26,20151105191
116,2015-11-05 20:00:00,1,22,20151105201
117,2015-11-05 21:00:00,1,21,20151105211
118,2015-11-05 22:00:00,1,21,20151105221
119,2015-11-05 23:00:00,1,21,20151105231
120,2015-11-06 00:00:00,1,16,20151106001
121,2015-11-06 01:00:00,1,18,20151106011
122,2015-11-06 02:00:00,1,19,20151106021
123,2015-11-06 03:00:00,1,14,20151106031
124,2015-11-06 04:00:00,1,12,20151106041
125,2015-11-06 05:00:00,1,13,20151106051
126,2015-11-06 06:00:00,1,14,20151106061
127,2015-11-06 07:00:00,1,14,20151106071
128,2015-11-06 08:00:00,1,13,20151106081
129,2015-11-06 09:00:00,1,20,20151106091
130,2015-11-06 10:00:00,1,22,20151106101
131,2015-11-06 11:00:00,1,26,20151106111
132,2015-11-06 12:00:00,1,26,20151106121
133,2015-11-06 13:00:00,1,21,20151106131
134,2015-11-06 14:00:00,1,23,20151106141
135,2015-11-06 15:00:00,1,23,20151106151
136,2015-11-06 16:00:00,1,19,20151106161
137,2015-11-06 17:00:00,1,19,20151106171
